A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
ecstasy                          2
edge                             9
edition                          1
editions                         4
educational                      1
effect                           4
effort                           3
efforts                          4
egg                              3
eggs                             18
eh                               65
eh-h-h                           1
eight                            3
ein                              1
either                           14
elaborately                      1
elbow                            1
elbows                           2
elderly                          2
elders                           1
elect                            1
electric                         1
electricity                      1
electronic                       27
electronically                   2
elephants                        9
eleven                           1
elfish                           1
ellen                            4
else                             24
else-was                         1
elses                            1
elsewhere                        1
em                               71
em-all                           1
em-an                            2
em-wait                          1
email                            2
embarrassed                      1
embowered                        1
embroidered                      3
emeralds                         2
emll                             1
emotion                          1
employed                         1
employee                         1
employees                        1
empty                            8
empty-except                     1
ems                              2
encircled                        1
enclosed                         2
encouragingly                    1
end                              29
end-if                           1
ended                            19
endless                          1
ends                             1
endure                           1
energetic                        1
engagingly                       1
england                          11
english                          7
enjoy                            4
enjoyed                          8
enjoyin                          3
enjoying                         1
enjoyment                        2
enormous                         1
enormous-and                     1
enough                           51
enough-th                        1
enow                             5
enow-but                         1
enraptured                       2
ensuring                         1
entered                          12
entertained                      1
entertaining                     2
entertainment                    1
entire                           3
entirely                         4
entity                           3
entrance                         2
entranced                        2
envelope                         2
equals                           1
equipment                        3
ere                              4
errands                          2
errors                           1
escaped                          1
especially                       2
estate                           1
etc                              1
europe                           1
even                             80
evening                          4
event                            1
events                           1
ever                             120
ever-and                         2
evergreen                        2
evergreens                       1
every                            78
everybody                        20
everyone                         17
everything                       37
everything-the                   1
everywhere                       9
evident                          2
evidently                        9
exact                            1
exactly                          9
exaggerated                      1
examined                         3
examining                        1
except                           13
excited                          16
excitedly                        3
excitement                       12
excites                          1
exciting                         2
exclaimed                        22
exclamation                      2
exclusion                        1
excursions                       1
excuse                           2
excuses                          1
exempt                           2
exercise                         6
exercised                        2
exercises                        5
exhibited                        1
existence                        1
exists                           1
expanse                          2
expect                           3
expected                         4
expected-this                    1
expend                           1
expense                          1
expenses                         2
experienced                      1
experiment                       13
explain                          3
explained                        15
explanation                      2
explore                          3
explored                         1
exploring                        1
exporting                        1
express                          1
expressed                        1
expression                       17
extend                           1
extended                         2
extent                           1
extra                            2
extraordinarily                  1
extreme                          1
extremely                        1
exultantly                       6
exultation                       1
eye                              4
eye-teeth                        1
eyes                             133
eyes-eyes                        1
f                                11
face                             117
faced                            1
faces                            8
facility                         1
fact                             21
fading                           1
faint                            5
faintly                          1
fair                             19
fairies                          1
fairly                           2
fairy                            5
fairy-like                       1
fairy-story                      1
faith                            1
fakirs                           4
fall                             1
fallen                           3
falling                          6
falls                            2
falter                           1
faltered                         4
familiar                         3
familiarly                       1
family                           2
fancied                          1
fanciful                         1
fancy                            7
fantastically                    1
far                              16
far-away                         1
far-off                          6
far-reaching                     2
farther                          4
fascinating                      3
fascination                      1
fashion                          6
fast                             12
fastened                         3
fastenings                       1
faster                           4
faster-they                      1
fat                              9
fatal                            1
fatally                          1
father                           34
father-i                         1
father-to                        1
fathers                          6
fattens                          1
fatter                           12
fauntleroy                       1
favor-because                    1
favorite                         2
fear                             5
feared                           1
fearfully                        1
fears                            3
feast                            1
feather                          2
feathered                        1
feathers                         3
feathery                         1
features                         1
fed                              1
federal                          2
fee                              8
feed                             2
feeding                          1
feeding-bottle                   1
feeding-lamb                     1
feel                             59
feel-i                           1
feeling                          19
feeling-even                     1
feels                            6
fees                             4
feet                             41
feet-laughing                    1
fell                             18
fellow                           2
felt                             109
ferns                            1
ferociously                      1
ferrets                          1
fettleworth                      1
fettleworths                     1
fever                            6
feverish                         3
few                              49
field-mice                       1
fields                           1
fierce                           2
fiercely                         4
fifteen                          1
fifth                            1
fight                            4
fightin                          1
fighting                         3
figure                           2
figures                          1
file                             1
files                            1
fill                             2
filled                           13
fillin                           1
filling                          5
film                             2
filtered                         1
final                            1
financial                        1
find                             53
findin                           2
finding                          6
finds                            3
fine                             19
finer                            1
finest                           1
finger                           3
fingering                        1
fingers                          4
finish                           1
finished                         8
finishing                        1
fiords                           1
fire                             17
fire-light                       1
fired                            1
fireplace                        1
firm                             2
firmly                           2
firmness                         1
first                            97
first-rate-that                  1
fist                             4
fit                              3
fitness                          1
fits                             3
fitted                           1
five                             15
five-mile                        1
fix                              1
fixed                            12
fixedly                          1
flags                            1
flaming                          1
flap                             1
flapped                          2
flare                            1
flash                            1
flashed                          1
flashing                         1
flat                             4
flattered                        1
flavor                           1
fledge                           1
fledged                          1
fledgling                        1
fleece                           1
flesh                            6
flesh-but                        1
flew                             26
flick                            1
flies                            3
flight                           7
flightiness                      1
flights                          4
flirt                            1
flirted                          2
flirtin                          1
float                            1
floated                          1
floating                         2
flood                            1
flooded                          1
floor                            5
flout                            1
flow                             2
flower                           14
flower-bed                       4
flower-beds                      4
flower-seeds                     1
flowerbed                        1
flowerin                         1
flowering                        1
flowers                          31
flown                            7
fluently                         1
flung                            2
flush                            1
flushed                          9
flushing                         2
flustered                        1
flusters                         1
flute                            3
fluting                          2
flutter                          1
flutterin                        2
fluttering                       1
fly                              11
fly-or                           1
flyin                            1
flying                           2
flying-or                        1
fold                             3
folded                           2
folds                            1
folk                             13
folk-an                          1
folks                            3
follow                           2
followed                         10
followed-the                     1
following                        9
follows                          1
fond                             16
food                             14
food-they                        1
foods                            1
fool                             1
fools                            2
fools-what                       1
foot                             8
footman                          6
footsteps                        3
footstool                        7
for                              352
foragin                          1
forard                           2
forcing                          1
forehead                         14
foreign                          2
forest                           2
forever                          9
forever-and                      2
forevermore                      1
forget                           15
forget-me-nots                   1
forgettin                        1
forgetting                       4
forgot                           14
forgotten                        7
fork                             6
form                             5
format                           4
formats                          1
formed                           2
forrad                           1
forsaken                         1
forth                            16
forty                            1
forward                          14
fou                              1
found                            94
foundation                       22
foundations                      3
fountain                         10
fountains                        1
four                             11
four-posted                      6
fours                            1
fourteen                         5
fowl                             1
fox                              17
foxes                            10
foxglove                         1
frames                           2
france                           1
frances                          2
frankly                          1
frankness                        1
free                             6
freedom                          2
freely                           4
french                           3
frenchman                        1
fresh                            48
freshly                          1
freshness                        1
fretful                          8
fretfully                        3
frets                            1
fretted                          2
frettin                          2
friend                           5
friendliest                      1
friendliness                     1
friendly                         10
friends                          15
fright                           4
frighten                         6
frightened                       27
frightening                      2
frightfully                      1
fringe                           2
frocks                           2
frogs                            1
from                             180
front                            2
frothed                          1
frowned                          5
frowning                         6
fruit                            2
fruit-trees                      2
full                             47
fuller                           2
fumblin                          1
fun                              9
funny                            17
furies                           1
furious                          4
furiously                        1
furniture                        4
further                          1
future                           3
gabbled                          1
gaily                            1
gain                             2
gained                           2
gained-and                       1
gaining                          3
galleries                        1
gallery                          2
games                            2
gapin                            2
garden                           228
garden-but                       1
garden-i                         1
garden-in                        2
garden-though                    1
gardener                         11
gardeners                        13
gardenin                         1
gardening                        7
gardens                          30
garlands                         2
gasp                             4
gasped                           12
gasping                          1
gate                             5
gates                            1
gathered                         2
gauze                            2
gave                             39
gay                              2
gaze                             2
gazed                            15
gazing                           4
general                          3
generally                        1
generals                         1
generation                       1
generations                      2
gentians                         1
gentle                           5
gentleman                        2
gentlemen                        1
gently                           5
gentry                           1
germ                             1
germany                          1
get                              118
gets                             11
gettin                           3
getting                          11
ghost                            7
ghost-my                         1
giant                            2
gibberish                        2
gift                             1
giggle                           1
giggled                          3
giggling                         1
girl                             28
girls                            3
give                             41
given                            11
gives                            1
givin                            3
giving                           2
glad                             32
glad-so                          1
gladly                           2
glance                           3
glanced                          4
glancing                         2
glared                           1
glaring                          1
glass                            6
gleam                            1
gliding                          1
glimmer                          1
glimpse                          3
glimpses                         3
glistening                       1
gloating                         1
gloom                            2
gloomy                           5
glories                          1
glossy                           2
glossy-plumaged                  1
gloves                           1
glow                             3
glowed                           1
glowing                          7
glummest                         1
gnarled                          1
go                               162
goals                            1
god                              4
goes                             20
goin                             18
going                            110
gold                             9
gold-colored                     2
golden                           9
gone                             37
good                             96
good-by                          2
good-hearted                     1
good-humoredly                   1
good-natured                     8
good-naturedly                   1
good-tempered                    2
goodly                           1
goodness                         2
goods                            1
gooseberry                       1
gorse                            9
gossipin                         1
got                              110
govern                           1
governess                        8
governesses                      2
government                       1
grabbin                          1
graces                           1
gradually                        8
graidelest                       1
graidely                         6
grand                            13
grander                          1
grandeur                         1
grandly                          4
grandmama                        2
granted                          1
grass                            53
grass-but                        1
grass-perhaps                    1
grassll                          1
grate                            4
grateful                         2
gratefully                       1
gratified                        1
gratitude                        1
grave                            1
gravely                          1
graves                           1
gray                             37
grayness                         2
grays                            1
great                            70
greatest                         2
greatly                          2
green                            51
greener                          3
greenery                         1
greenhouse                       1
greenish                         1
greenness                        2
greeted                          1
grew                             20
grin                             8
grinding                         1
grinned                          4
grinning                         2
grins                            2
groanin                          1
groans                           1
gross                            1
ground                           14
ground-almost                    1
ground-some                      1
grounds                          2
group                            2
grow                             44
grow-to                          1
growed                           4
growin                           3
growing                          26
growing-the                      1
grown                            8
grown-up                         5
grows                            5
grows-like                       1
grumbled                         1
grumbling                        1
grumpy                           1
grunt                            4
grunted                          2
grunting                         1
grunts                           1
guard                            2
guardian                         2
guess                            1
guessed                          1
guessin                          1
gulp                             2
gulped                           5
gust                             1
gusts                            2
gutenberg                        87
gutenbergs                       1
ha                               2
habit                            1
had                              948
hadna                            1
hadnt                            6
hair                             20
hairs                            2
half                             29
half-crazy                       1
half-drowned                     1
half-frightened                  1
half-hours-when                  1
half-insane                      1
half-resentful                   1
half-way                         3
half-witted                      3
halfway                          1
hall                             10
ham                              2
hammer                           1
hand                             69
handed                           3
handing                          2
handkerchief                     3
handle                           8
handles                          1
hands                            34
handsome                         5
hang                             1
hanging                          12
hangings                         4
happen                           14
happened                         25
happening                        9
happens                          2
happiness                        1
happy                            20
harangued                        1
hard                             16
harder                           1
hardly                           1
harm                             8
harm-i                           1
harmless                         2
hart                             1
has                              85
hasnt                            15
hastily                          2
hat                              9
hatched                          1
hatches                          1
hate                             15
hated                            16
hates                            9
hatred                           1
haughtily                        2
have                             266
havent                           4
havin                            1
having                           12
hawks                            1
haworth                          2
haworths                         1
haze                             1
hazy                             2
he                               1763
he-he                            1
he-was                           2
head                             85
headache                         2
headlong                         1
heads                            6
health                           1
healthier                        2
healthily                        3
healths                          1
healthy                          12
healthy-minded-if                1
heap                             2
heaps                            2
hear                             50
hear-i                           1
heard                            95
hearin                           1
hearing                          2
hearken                          1
hears                            1
heart                            15
heart-breaking                   1
heart-broken                     1
hearth                           6
hearth-rug                       5
heartily                         2
heartless                        1
hearty                           2
heathen                          1
heather                          11
heather-bells                    1
heathers                         2
heaven                           1
heavenly                         4
heavens                          2
heavier                          2
heavily                          5
heaving                          1
heavy                            8
hed                              31
hedgerow                         1
hedges                           4
heels                            6
height                           1
heights                          1
held                             43
hell                             22
help                             35
help-but                         1
helped                           5
helping                          1
helpless                         3
helplessly                       1
helps                            2
her                              950
her-an                           1
her-but                          1
her-things                       1
herbaceous                       1
herbs                            1
here                             120
here-we                          1
heres                            4
hers                             2
hersel                           1
herself                          92
hes                              116
hes-hes                          2
hesitate                         1
hesitated                        4
hesitatedi                       1
hesitating                       1
hesitatingly                     1
hibiscus                         1
hid                              3
hidden                           9
hidden-away                      1
hide                             6
hideous                          2
hidin                            3
hiding                           5
high                             19
higher                           5
highly                           4
highness                         1
highroad                         1
hills                            2
hilly                            1
him                              550
him-a                            1
him-but                          1
him-i                            1
him-into                         1
him-ivory                        1
him-mary                         1
himsel                           1
himself                          85
himself-but                      1
himself-not                      1
himtherell                       1
hindustani                       2
hint                             1
hips                             1
his                              747
hissel                           1
hitherto                         1
hoarse                           2
hoarsely                         4
hobble                           1
hobbled                          1
hobnailed                        1
hodgson                          2
hoe                              2
hold                             12
holder                           4
holding                          7
hole                             16
holes                            3
hollow                           4
hollows                          1
holly                            1
holy                             1
home                             22
home-he                          1
home-made                        1
homecoming                       1
homely                           2
homes                            2
honey                            2
honey-and                        1
hoof                             1
hooray                           3
hop                              3
hope                             8
hoped                            7
hoping                           2
hopped                           13
hopping                          4
hops                             2
horrible                         2
horribly                         2
horrid                           3
horrified                        1
horses                           4
host                             1
hot                              21
hotel                            2
hounds                           1
houppe                           1
hour                             14
hourly                           1
hours                            12
hours-went                       1
house                            60
house-down                       1
housekeeper                      3
housekeepers                     1
housekeepin                      1
housemaid                        2
housemaids                       3
houses                           3
how                              134
how-how                          1
howd                             1
however                          11
however-and                      1
hows                             1
howsoever                        1
huddled                          3
hue                              2
huge                             6
human                            8
humans                           3
humiliation                      1
hummin                           3
humming                          3
humor                            7
humped                           1
humph                            1
humps                            2
hunch                            2
hunchback                        10
hunchbacks                       1
hunching                         1
hundred                          19
hundreds                         5
hung                             9
hunger                           1
hungry                           18
hunt                             1
hunters                          1
hunting                          1
hurried                          3
hurriedly                        2
hurry                            7
hurrying                         3
hurt                             4
hush                             1
hush-h                           1
husky                            1
huts                             2
hypertext                        1
hypochondriac                    1
hysteria                         1
hysterical                       8
hysterics                        9
hysterics-hysterics-hysterics    1
i                                1158
i-i                              1
i-there                          1
i-what                           1
id                               20
idea                             15
identification                   1
identify                         1
if                               518
if-i                             1
if-if                            1
ignorance                        1
ignorant                         2
ii                               2
iii                              2
ill                              94
ill-i                            1
ill-ill                          1
ill-natured                      1
ill-tempered                     1
illness                          2
illustration                     1
illustrations                    2
im                               94
imagination                      2
imagine                          4
imagined                         2
imagining                        1
imitated                         1
imitation                        1
immediate                        2
immediately                      2
immense                          5
immensely                        3
impartially                      1
impatience                       1
imperious                        4
imperiously                      2
impidint                         1
implied                          2
implored                         1
imploringly                      1
impolitely                       1
important                        5
imposed                          1
imposing                         1
impress                          1
impressed                        1
improve                          2
improved                         1
improvement                      1
improving                        1
impudence                        2
impudent                         2
in                               1100
in-all                           1
in-push                          1
in-to                            1
inaccurate                       1
inactive                         1
incantations                     1
inch                             1
incident                         1
incidental                       1
incidents                        1
inclined                         2
include                          1
included                         4
includes                         1
including                        9
incomplete                       1
increased                        1
increasing                       2
incredulously                    1
indeed                           18
indemnify                        1
indemnity                        1
india                            50
indian                           9
indicate                         1
indicating                       1
indifference                     4
indifferently                    3
indignant                        3
indignantly                      5
indignation                      2
indirect                         1
indirectly                       1
individual                       4
indoors                          1
indulgently                      1
industriously                    1
information                      8
infringement                     1
inheriting                       1
injurious                        1
injury                           1
ink                              2
inkstand                         1
inlaid                           1
inn                              1
innermost                        1
innocent                         1
inordinately                     1
inquire                          1
inquired                         24
inquiring                        1
inquiringly                      1
insane                           2
insect                           1
insects                          1
inside                           27
insisted                         3
inspect                          1
inspiration                      4
inspired                         1
instant                          1
instead                          17
instinct                         1
instructed                       1
instructions                     1
insult                           1
insulted                         2
intellectual                     2
intelligent                      1
intend                           4
intended                         2
intensely                        2
intention                        3
intently                         3
interest                         6
interest-he                      1
interested                       17
interesting                      4
interfere                        1
interferin                       1
internal                         1
international                    1
interpreted                      1
interrupted                      2
intervals                        2
intimate                         2
into                             188
introduction                     1
intruder                         1
invalid                          9
invalidity                       1
invalids                         3
invented                         1
investigating                    1
invited                          1
involuntary                      1
iris                             2
iron                             7
irritably                        1
irritate                         1
irs                              1
is                               392
is-down                          1
is-so                            1
island                           1
isnt                             21
it                               1349
it-a                             1
it-an                            1
it-and                           3
it-because                       1
it-but                           2
it-is                            1
it-it                            1
it-keepin                        1
it-particularly                  1
it-she                           1
it-smiled                        1
it-tha                           1
it-this                          1
it-what                          1
italian                          1
itd                              9
itll                             12
its                              199
its-its                          2
itself                           19
iv                               2
ive                              65
ivied                            4
ivory                            8
ivory-white                      2
ivy                              27
ivy-covered                      2
ivy-if                           1
ix                               2
jackasses                        1
jacket                           1
jackets                          1
jacks                            1
jam                              2
jane                             1
jaw                              2
jaws                             1
jem                              3
jerk                             1
jerked                           2
jerking                          2
jet                              1
jewels                           1
jography                         1
john                             4
joined                           1
joint                            1
joints                           1
jokin                            1
joking                           1
jolt                             1
jonquils                         1
journey                          4
joy                              13
joy-even                         1
joyful                           4
joyfully                         3
joyfulness                       2
joyous                           2
joyously                         1
juicy                            1
jump                             15
jumped                           8
jumps                            1
just                             130
just-just                        1
keep                             51
keepin                           1
keeping                          7
keeps                            5
kep                              2
kept                             24
ketched                          1
key                              32
keyhole                          1
keys                             1
kicked                           1
kid                              1
kill                             1
killed                           3
kind                             18
kindly                           1
kindness                         1
king                             4
king-besides                     1
kingdom                          2
kings                            2
kiss                             6
kissed                           3
kitchen                          4
kitchen-garden                   3
kitchen-gardens                  3
knee                             1
kneeled                          1
kneeling                         4
knees                            4
knelt                            7
knew                             87
knife                            4
knit                             1
knitting                         5
knob                             3
knobstick                        1
knock-kneed                      1
knocked                          1
knocks                           1
know                             176
know-and                         1
knowed                           18
knowin                           5
knowing                          11
knowledge                        1
known                            14
knows                            46
la                               1
lace                             4
lad                              42
lad-whats                        1
ladder                           5
ladies                           3
lads                             5
lady                             9
ladys                            2
laid                             7
lain                             3
lake                             7
lakes                            1
lamb                             17
lamb-a                           1
lambs                            1
lamps                            4
lances                           2
land                             4
landscapes                       1
lanes                            2
language                         5
languid                          2
languidly                        1
lap                              5
lapping                          1
large                            10
larger                           2
larkspur                         1
larkspurs                        1
lashes                           6
lass                             7
last                             58
late                             16
lately                           1
later                            5
lath                             1
laugh                            28
laughable                        2
laughed                          36
laughin                          4
laughing                         28
laughins                         1
laughs                           2
laughter                         5
laurel                           1
laurel-hedged                    1
